source,listing_url,agent_name,agency_name,phone,email,listing_title,property_type,location,search_query,google_rating
google_maps,https://bso.ae/?utm_source=Google-map&utm_content=Dubai-crystal,,"BSO - Real Estate Management LLC, Dubai, UAE",+971 4 279 9100,whiterabbit@follow.me,,agency,"Office 903 - Downtown, A4 - شارع المركز المالي - الخليج التجاري - دبي - United Arab Emirates",property management company Dubai,4.4
google_maps,https://www.guestready.com/property-management-dubai/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-dubai,,GuestReady - Property Management Dubai,+971 4 571 1200,dubai@guestready.com,,agency,The Bayswater by Omniyat - Office 1206 - Marasi Dr - Business Bay - Dubai - United Arab Emirates,property management company Dubai,4.6
google_maps,https://www.suiteable.ae/,,Suiteable | Holiday Homes Property Management Company Dubai,+971 58 592 5820,hello@suiteable.ae,,agency,Al Ameri Tower - Office 205 - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,property management company Dubai,4.6
google_maps,https://www.binayah.com/,,Binayah Properties LLC,+971 4 243 8479,info@binayah.com,,agency,Liberty Building - Mezzanine Floor - 749 Sheikh Zayed Rd - Al Qouz Ind.third - Al Quoz - Dubai - United Arab Emirates,property management company Dubai,4.4
google_maps,https://famproperties.com/,,fäm Properties,+971 4 369 1700,info@famproperties.com,,agency,"Business Bay Bay Square Al Asayel St Building 13 Floor # 3, Office 304 - Business Bay - Bay Square - Dubai - United Arab Emirates",property management company Dubai,4.9
google_maps,https://springfieldproperties.ae/,,Springfield Properties,+971 4 454 2588,,,agency,"Office 102, 103, 104, 105, 106, Building 02 - الخليج التجاري - Bay Square - دبي - United Arab Emirates",property management company Dubai,4.8
google_maps,https://www.bhomes.com/,,betterhomes - Dubai (Head Office),+971 600 522233,info@bhomes.com,,agency,42nd - الخليج التجاري - دبي - United Arab Emirates,property management company Dubai,4.3
google_maps,http://www.whiteandcogroup.com/,,White & Co Real Estate LLC,+971 4 876 2333,,,agency,CONTROL TOWER - 7th Floor - Al Hebiah First - Dubai Motor City - Dubai - United Arab Emirates,property management company Dubai,4.7
google_maps,https://ccasolutions.ae/,,CCA Property Management Solutions – Short-Term Rentals Dubai,+971 52 473 3331,flags@2x.png,,agency,"Iris Bay Tower, 716 - الخليج التجاري - دبي - United Arab Emirates",property management company Dubai,5
google_maps,https://www.mtrproperties.ae/,,MTR Properties LLC | Find Properties in Dubai,,contact@mtr.ae,,agency,"1404 office, Fifty One Tower - Marasi Dr - Business Bay - Dubai - United Arab Emirates",property management company Dubai,4.9
